date;dateHeure;login;ip
20140327;120009;i.integra;10.35.8.149
20140327;120025;i.integra;217.115.160.142
20140327;120207;a.servant;10.35.8.149
20140327;120208;i.alquier;10.35.8.149
20140327;120246;d.chiche;10.35.8.149
20140327;120306;a.testsarabis;10.35.8.149
20140327;120312;e.ev1;10.35.8.149
20140327;120340;a.testsarabis;10.35.8.149
20140327;120345;e.ev1;10.35.8.149
20140327;120440;a.testsarabis;10.35.8.149
20140327;120445;e.ev1;10.35.8.149
20140327;120704;m.galeazzi;10.35.8.149
20140327;120903;a.testsarabis;10.35.8.149
20140327;120908;e.ev1;10.35.8.149
20140327;121158;d.chiche;10.35.8.149
20140327;121209;n.mech;10.35.8.149
20140327;121415;c.baudin;10.35.8.149
20140327;121442;d.chiche;10.35.8.149
20140327;121510;i.integra;10.35.8.149
20140327;121525;i.integra;217.115.160.142
20140327;121531;j.israel;10.35.8.149
20140327;121625;a.testsarabis;10.35.8.149
20140327;121630;e.ev1;10.35.8.149
20140327;121712;c.bussieres;10.35.8.149
20140327;121835;a.testsarabis;10.35.8.149
20140327;121840;e.ev1;10.35.8.149
20140327;121843;a.testsarabis;10.35.8.149
20140327;121848;e.ev1;10.35.8.149
20140327;122000;ga.fleury;10.35.8.149
20140327;122100;i.mauras;10.35.8.149
20140327;122122;m.rougemont;10.35.8.149
20140327;122233;a.testsarabis;10.35.8.149
20140327;122235;d.leroux;10.35.8.149
20140327;122239;e.ev1;10.35.8.149
20140327;122515;v.guillou;10.35.8.149
20140327;122835;g.fleury;10.35.8.149
20140327;122854;y.praud;10.35.8.149
20140327;123000;v.galaup;10.35.8.149
20140327;123013;i.integra;10.35.8.149
20140327;123030;i.integra;217.115.160.142
